Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
17,15,ANOVA,XGB,0.9875,0.98989898989899,1.0
17,15,DODA,LR,1.0,1.0,1.0
17,15,DODA,RF,1.0,1.0,1.0
17,15,DODA,XGB,1.0,1.0,1.0
17,20,ANOVA,LR,1.0,1.0,1.0
17,20,ANOVA,RF,1.0,1.0,1.0
17,20,ANOVA,XGB,1.0,1.0,1.0
17,20,DODA,LR,1.0,1.0,1.0
17,20,DODA,RF,1.0,1.0,1.0
17,20,DODA,XGB,1.0,1.0,1.0
18,5,ANOVA,LR,0.95,0.9583333333333334,0.9953333333333334
18,5,ANOVA,RF,0.9625,0.9690721649484536,0.9986666666666666
18,5,ANOVA,XGB,0.9625,0.9696969696969697,0.998
18,5,DODA,LR,0.925,0.9361702127659575,0.997
18,5,DODA,RF,0.9625,0.9696969696969697,0.9963333333333333
18,5,DODA,XGB,0.95,0.9591836734693877,0.9936666666666667
18,10,ANOVA,LR,0.9875,0.98989898989899,1.0
18,10,ANOVA,RF,0.975,0.98,0.998
18,10,ANOVA,XGB,0.9875,0.9900990099009901,0.998
18,10,DODA,LR,0.9625,0.9690721649484536,0.9993333333333333
18,10,DODA,RF,0.975,0.98,0.9953333333333334
18,10,DODA,XGB,0.975,0.98,0.9966666666666667
18,15,ANOVA,LR,1.0,1.0,1.0
18,15,ANOVA,RF,0.9875,0.98989898989899,0.9993333333333333
18,15,ANOVA,XGB,0.9875,0.98989898989899,0.9993333333333334
18,15,DODA,LR,0.9875,0.98989898989899,1.0
18,15,DODA,RF,0.975,0.98,0.9993333333333334
18,15,DODA,XGB,0.9875,0.98989898989899,0.9993333333333333
18,20,ANOVA,LR,0.9875,0.98989898989899,1.0
18,20,ANOVA,RF,0.975,0.98,0.9993333333333334
18,20,ANOVA,XGB,0.9875,0.98989898989899,0.9993333333333333
18,20,DODA,LR,0.9875,0.98989898989899,1.0
18,20,DODA,RF,0.975,0.98,0.9993333333333334
18,20,DODA,XGB,0.975,0.98,0.9993333333333333
19,5,ANOVA,LR,0.9875,0.9900990099009901,0.9996666666666667
19,5,ANOVA,RF,0.9875,0.98989898989899,0.9996666666666667
19,5,ANOVA,XGB,0.975,0.98,0.9983333333333334
19,5,DODA,LR,0.975,0.9795918367346939,0.9943333333333333
19,5,DODA,RF,0.975,0.98,0.999
19,5,DODA,XGB,0.9875,0.9900990099009901,0.9990000000000001
19,10,ANOVA,LR,0.9875,0.98989898989899,1.0
19,10,ANOVA,RF,0.9875,0.9900990099009901,1.0
19,10,ANOVA,XGB,0.9625,0.9702970297029703,0.996
19,10,DODA,LR,0.9875,0.98989898989899,1.0
19,10,DODA,RF,0.9875,0.9900990099009901,0.9996666666666666
19,10,DODA,XGB,0.9625,0.9702970297029703,0.996
19,15,ANOVA,LR,0.9875,0.98989898989899,0.9993333333333333
19,15,ANOVA,RF,0.9875,0.9900990099009901,1.0
19,15,ANOVA,XGB,0.975,0.98,0.9946666666666667
19,15,DODA,LR,0.9875,0.98989898989899,1.0
19,15,DODA,RF,1.0,1.0,1.0
19,15,DODA,XGB,0.9625,0.9702970297029703,0.9973333333333334
19,20,ANOVA,LR,0.9875,0.98989898989899,1.0
19,20,ANOVA,RF,0.9875,0.9900990099009901,1.0
19,20,ANOVA,XGB,0.975,0.98,0.996
19,20,DODA,LR,0.9875,0.98989898989899,1.0
19,20,DODA,RF,0.9875,0.9900990099009901,1.0
19,20,DODA,XGB,0.975,0.98,0.9966666666666667
20,5,ANOVA,LR,0.975,0.98,0.9976666666666667
20,5,ANOVA,RF,0.9875,0.9900990099009901,0.999
20,5,ANOVA,XGB,0.975,0.98,0.9986666666666667
20,5,DODA,LR,0.975,0.9795918367346939,0.999
20,5,DODA,RF,0.9875,0.9900990099009901,0.9996666666666667
20,5,DODA,XGB,0.975,0.98,0.999
20,10,ANOVA,LR,0.9875,0.98989898989899,1.0
20,10,ANOVA,RF,1.0,1.0,1.0
20,10,ANOVA,XGB,0.975,0.98,0.9986666666666667
20,10,DODA,LR,0.975,0.9795918367346939,1.0
20,10,DODA,RF,0.9875,0.98989898989899,1.0
20,10,DODA,XGB,0.9625,0.9696969696969697,0.9986666666666667
20,15,ANOVA,LR,0.9875,0.98989898989899,1.0
20,15,ANOVA,RF,1.0,1.0,1.0
20,15,ANOVA,XGB,1.0,1.0,1.0
20,15,DODA,LR,0.9875,0.98989898989899,1.0
20,15,DODA,RF,1.0,1.0,1.0
20,15,DODA,XGB,1.0,1.0,1.0
