Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
DODA,5,Logistic Regression,3,0.8360655737704918,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9155844155844156,"thal, ca, cp, exang, oldpeak"
DODA,5,Logistic Regression,4,0.7833333333333333,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.8911335578002244,"thal, ca, oldpeak, exang, cp"
DODA,5,Logistic Regression,5,0.8333333333333334,0.875,0.75,0.8076923076923077,0.8571428571428571,"thal, ca, cp, exang, thalach"
DODA,5,Random Forest,1,0.819672131147541,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.9128787878787878,"thal, exang, ca, oldpeak, cp"
DODA,5,Random Forest,2,0.7868852459016393,0.7777777777777778,0.75,0.7636363636363637,0.8327922077922079,"thal, ca, oldpeak, exang, thalach"
DODA,5,Random Forest,3,0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.9058441558441559,"thal, ca, cp, exang, oldpeak"
DODA,5,Random Forest,4,0.7666666666666667,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.8597081930415263,"thal, ca, oldpeak, exang, cp"
DODA,5,Random Forest,5,0.75,0.782608695652174,0.6428571428571429,0.7058823529411765,0.8420758928571428,"thal, ca, cp, exang, thalach"
DODA,5,XGBoost,1,0.819672131147541,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8988095238095238,"thal, exang, ca, oldpeak, cp"
DODA,5,XGBoost,2,0.7868852459016393,0.8,0.7142857142857143,0.7547169811320755,0.8593073593073594,"thal, ca, oldpeak, exang, thalach"
DODA,5,XGBoost,3,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.908008658008658,"thal, ca, cp, exang, oldpeak"
DODA,5,XGBoost,4,0.75,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.8473625140291807,"thal, ca, oldpeak, exang, cp"
DODA,5,XGBoost,5,0.7666666666666667,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.8482142857142857,"thal, ca, cp, exang, thalach"
DODA,8,Logistic Regression,1,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9404761904761905,"thal, exang, ca, oldpeak, cp, slope, thalach, age"
DODA,8,Logistic Regression,2,0.819672131147541,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8993506493506493,"thal, ca, oldpeak, exang, thalach, cp, slope, age"
DODA,8,Logistic Regression,3,0.8360655737704918,0.875,0.75,0.8076923076923077,0.9025974025974026,"thal, ca, cp, exang, oldpeak, slope, thalach, age"
DODA,8,Logistic Regression,4,0.7833333333333333,0.7692307692307693,0.7407407407407407,0.7547169811320755,0.8900112233445566,"thal, ca, oldpeak, exang, cp, thalach, slope, age"
DODA,8,Logistic Regression,5,0.85,0.88,0.7857142857142857,0.8301886792452831,0.8694196428571428,"thal, ca, cp, exang, thalach, oldpeak, slope, age"
DODA,8,Random Forest,1,0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.9366883116883118,"thal, exang, ca, oldpeak, cp, slope, thalach, age"
DODA,8,Random Forest,2,0.8524590163934426,0.8518518518518519,0.8214285714285714,0.8363636363636363,0.8933982683982684,"thal, ca, oldpeak, exang, thalach, cp, slope, age"
DODA,8,Random Forest,3,0.819672131147541,0.8148148148148148,0.7857142857142857,0.8,0.9101731601731601,"thal, ca, cp, exang, oldpeak, slope, thalach, age"
DODA,8,Random Forest,4,0.7833333333333333,0.8181818181818182,0.6666666666666666,0.7346938775510204,0.8945005611672279,"thal, ca, oldpeak, exang, cp, thalach, slope, age"
DODA,8,Random Forest,5,0.85,0.9130434782608695,0.75,0.8235294117647058,0.8850446428571428,"thal, ca, cp, exang, thalach, oldpeak, slope, age"
DODA,8,XGBoost,1,0.7868852459016393,0.8,0.7142857142857143,0.7547169811320755,0.9047619047619048,"thal, exang, ca, oldpeak, cp, slope, thalach, age"
DODA,8,XGBoost,2,0.819672131147541,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.8690476190476191,"thal, ca, oldpeak, exang, thalach, cp, slope, age"
