Top_K,Model,Metric,ANOVA_Mean,DODA_Mean,DODA_minus_ANOVA,Difference_STD,Cohens_d,Wilcoxon_Statistic,p_value,Direction,Significance
10,Logistic Regression,Accuracy,0.8381967213114754,0.8415300546448087,0.0033333333333333435,0.013781438098817725,0.24187122631413205,1.0,0.5,DODA better,Not significant
10,Logistic Regression,Precision,0.8449476650563608,0.8508779264214048,0.005930261365043976,0.013973575344708005,0.4243911253027917,2.0,0.75,DODA better,Not significant
10,Logistic Regression,Recall,0.7984126984126985,0.7984126984126985,0.0,0.025253813613805257,0.0,1.5,1.0,Equal,Not significant
10,Logistic Regression,F1,0.8177302436125965,0.8210312062254348,0.0033009626128383206,0.01711567416383131,0.1928619685816341,2.0,0.75,DODA better,Not significant
10,Logistic Regression,ROC_AUC,0.9098532447490781,0.9099431818181818,8.993706910376265e-05,0.008543089286144391,0.01052746449105092,4.0,0.875,DODA better,Not significant
10,Random Forest,Accuracy,0.8283606557377048,0.8316939890710382,0.0033333333333332993,0.013781438098817739,0.24187122631412858,2.0,0.75,DODA better,Not significant
10,Random Forest,Precision,0.829698642742121,0.8362211751267224,0.006522532384601365,0.030653139635414276,0.2127851326872153,2.0,0.75,DODA better,Not significant
10,Random Forest,Recall,0.7912698412698413,0.7910052910052909,-0.0002645502645502784,0.02572402759266189,-0.010284169677447585,1.0,1.0,ANOVA better,Not significant
10,Random Forest,F1,0.8088328664799252,0.8114182515111306,0.002585385031205445,0.012658048301615153,0.20424831455853684,2.0,0.75,DODA better,Not significant
10,Random Forest,ROC_AUC,0.9100242253888087,0.9085102012185345,-0.0015140241702741753,0.011914891155538792,-0.1270699119706487,6.0,0.8125,ANOVA better,Not significant
10,XGBoost,Accuracy,0.8053005464480874,0.8184153005464481,0.013114754098360649,0.024408099529526175,0.5373115626022376,2.5,0.5,DODA better,Not significant
10,XGBoost,Precision,0.8177188158057724,0.8186206896551724,0.0009018738494001033,0.02720964819094314,0.03314536972588629,4.0,0.875,DODA better,Not significant
10,XGBoost,Recall,0.7407407407407407,0.7764550264550264,0.03571428571428572,0.05050762722761055,0.7071067811865475,0.0,0.5,DODA better,Not significant
10,XGBoost,F1,0.7769895178197066,0.795318767483392,0.018329249663685453,0.029504336734348446,0.6212391699809626,1.0,0.25,DODA better,Not significant
10,XGBoost,ROC_AUC,0.8930881232964566,0.8901951058201059,-0.0028930174763507344,0.013125600566264783,-0.2204102937420116,6.0,0.8125,ANOVA better,Not significant
13,Logistic Regression,Accuracy,0.831584699453552,0.831584699453552,0.0,0.0,0.0,0.0,1.0,Equal,Not significant
13,Logistic Regression,Precision,0.8304375589982786,0.8304375589982786,0.0,0.0,0.0,0.0,1.0,Equal,Not significant
13,Logistic Regression,Recall,0.7984126984126985,0.7984126984126985,0.0,0.0,0.0,0.0,1.0,Equal,Not significant
13,Logistic Regression,F1,0.8126165681583638,0.8126165681583638,0.0,0.0,0.0,0.0,1.0,Equal,Not significant
