Run,Top_K,Method,Model,Accuracy,F1,ROC_AUC
17,10,ANOVA,RF,1.0,1.0,1.0
17,10,ANOVA,XGB,1.0,1.0,1.0
17,10,DODA,LR,1.0,1.0,1.0
17,10,DODA,RF,1.0,1.0,1.0
17,10,DODA,XGB,1.0,1.0,1.0
17,15,ANOVA,LR,1.0,1.0,1.0
17,15,ANOVA,RF,1.0,1.0,1.0
17,15,ANOVA,XGB,1.0,1.0,1.0
17,15,DODA,LR,1.0,1.0,1.0
17,15,DODA,RF,1.0,1.0,1.0
17,15,DODA,XGB,1.0,1.0,1.0
17,20,ANOVA,LR,1.0,1.0,1.0
17,20,ANOVA,RF,1.0,1.0,1.0
17,20,ANOVA,XGB,1.0,1.0,1.0
17,20,DODA,LR,1.0,1.0,1.0
17,20,DODA,RF,1.0,1.0,1.0
17,20,DODA,XGB,1.0,1.0,1.0
18,5,ANOVA,LR,1.0,1.0,1.0
18,5,ANOVA,RF,1.0,1.0,1.0
18,5,ANOVA,XGB,1.0,1.0,1.0
18,5,DODA,LR,1.0,1.0,1.0
18,5,DODA,RF,1.0,1.0,1.0
18,5,DODA,XGB,1.0,1.0,1.0
18,10,ANOVA,LR,1.0,1.0,1.0
18,10,ANOVA,RF,1.0,1.0,1.0
18,10,ANOVA,XGB,1.0,1.0,1.0
18,10,DODA,LR,1.0,1.0,1.0
18,10,DODA,RF,1.0,1.0,1.0
18,10,DODA,XGB,1.0,1.0,1.0
18,15,ANOVA,LR,1.0,1.0,1.0
18,15,ANOVA,RF,1.0,1.0,1.0
18,15,ANOVA,XGB,1.0,1.0,1.0
18,15,DODA,LR,1.0,1.0,1.0
18,15,DODA,RF,1.0,1.0,1.0
18,15,DODA,XGB,1.0,1.0,1.0
18,20,ANOVA,LR,1.0,1.0,1.0
18,20,ANOVA,RF,1.0,1.0,1.0
18,20,ANOVA,XGB,1.0,1.0,1.0
18,20,DODA,LR,1.0,1.0,1.0
18,20,DODA,RF,1.0,1.0,1.0
18,20,DODA,XGB,1.0,1.0,1.0
19,5,ANOVA,LR,1.0,1.0,1.0
19,5,ANOVA,RF,1.0,1.0,1.0
19,5,ANOVA,XGB,1.0,1.0,1.0
19,5,DODA,LR,1.0,1.0,1.0
19,5,DODA,RF,1.0,1.0,1.0
19,5,DODA,XGB,1.0,1.0,1.0
19,10,ANOVA,LR,1.0,1.0,1.0
19,10,ANOVA,RF,1.0,1.0,1.0
19,10,ANOVA,XGB,1.0,1.0,1.0
19,10,DODA,LR,1.0,1.0,1.0
19,10,DODA,RF,1.0,1.0,1.0
19,10,DODA,XGB,1.0,1.0,1.0
19,15,ANOVA,LR,1.0,1.0,1.0
19,15,ANOVA,RF,1.0,1.0,1.0
19,15,ANOVA,XGB,1.0,1.0,1.0
19,15,DODA,LR,1.0,1.0,1.0
19,15,DODA,RF,1.0,1.0,1.0
19,15,DODA,XGB,1.0,1.0,1.0
19,20,ANOVA,LR,1.0,1.0,1.0
19,20,ANOVA,RF,1.0,1.0,1.0
19,20,ANOVA,XGB,1.0,1.0,1.0
19,20,DODA,LR,1.0,1.0,1.0
19,20,DODA,RF,1.0,1.0,1.0
19,20,DODA,XGB,1.0,1.0,1.0
20,5,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
20,5,ANOVA,RF,0.967741935483871,0.9333333333333333,1.0
20,5,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
20,5,DODA,LR,0.967741935483871,0.9333333333333333,1.0
20,5,DODA,RF,0.967741935483871,0.9333333333333333,1.0
20,5,DODA,XGB,0.967741935483871,0.9333333333333333,0.9945652173913043
20,10,ANOVA,LR,0.967741935483871,0.9333333333333333,1.0
20,10,ANOVA,RF,1.0,1.0,1.0
20,10,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
20,10,DODA,LR,0.967741935483871,0.9333333333333333,1.0
20,10,DODA,RF,1.0,1.0,1.0
20,10,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
20,15,ANOVA,LR,1.0,1.0,1.0
20,15,ANOVA,RF,1.0,1.0,1.0
20,15,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
20,15,DODA,LR,1.0,1.0,1.0
20,15,DODA,RF,1.0,1.0,1.0
20,15,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
20,20,ANOVA,LR,1.0,1.0,1.0
20,20,ANOVA,RF,0.967741935483871,0.9333333333333333,1.0
20,20,ANOVA,XGB,0.967741935483871,0.9333333333333333,1.0
20,20,DODA,LR,1.0,1.0,1.0
20,20,DODA,RF,1.0,1.0,1.0
20,20,DODA,XGB,0.967741935483871,0.9333333333333333,1.0
21,5,ANOVA,LR,1.0,1.0,1.0
21,5,ANOVA,RF,0.96875,0.9411764705882353,1.0
21,5,ANOVA,XGB,1.0,1.0,1.0
21,5,DODA,LR,1.0,1.0,1.0
21,5,DODA,RF,0.96875,0.9411764705882353,1.0
21,5,DODA,XGB,1.0,1.0,1.0
21,10,ANOVA,LR,1.0,1.0,1.0
21,10,ANOVA,RF,1.0,1.0,1.0
21,10,ANOVA,XGB,1.0,1.0,1.0
21,10,DODA,LR,1.0,1.0,1.0
21,10,DODA,RF,1.0,1.0,1.0
21,10,DODA,XGB,1.0,1.0,1.0
21,15,ANOVA,LR,0.96875,0.9411764705882353,1.0
21,15,ANOVA,RF,1.0,1.0,1.0
