Method,Top_K,Model,Fold,Accuracy,Precision,Recall,F1,ROC_AUC,Selected_Features
ANOVA,20,XGBoost,2,0.8532955659657915,0.5716432865731463,0.162558769055421,0.25313366611203547,0.8138391592611185,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,XGBoost,3,0.8523368558666521,0.5637126376507604,0.15313390313390313,0.24084238826033383,0.8138945832302744,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,XGBoost,4,0.8536441878200239,0.5745204131824889,0.16638176638176638,0.2580360101623771,0.8152018101702989,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
ANOVA,20,XGBoost,5,0.8546868871747941,0.5887423935091278,0.16540817780310585,0.25825825825825827,0.8201084864279731,"HighBP, HighChol, CholCheck, BMI, Smoker, Stroke, HeartDiseaseorAttack, PhysActivity, Fruits, Veggies, HvyAlcoholConsump, AnyHealthcare, GenHlth, MentHlth, PhysHlth, DiffWalk, Sex, Age, Education, Income"
DODA,5,Logistic Regression,1,0.8502015470094781,0.5438489646772229,0.12722610058412878,0.2062117538390486,0.788804053249495,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Logistic Regression,2,0.8502233358753677,0.5421756835369401,0.13278244764211425,0.21332112611581597,0.785973723138939,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Logistic Regression,3,0.8498747140211352,0.5401730531520396,0.1245014245014245,0.20236165779115536,0.7841270563662847,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Logistic Regression,4,0.8496132476304609,0.5340646651270208,0.13176638176638178,0.2113802559414991,0.7866024532571156,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Logistic Regression,5,0.85026365102192,0.5446265938069217,0.12779598233366576,0.20701592430186938,0.7934762044592788,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Random Forest,1,0.8513127791698442,0.5591267434808975,0.13135774326827182,0.2127365020766036,0.7870710232940998,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Random Forest,2,0.8495914587645713,0.5353227771010962,0.1252315144607494,0.20297887080013854,0.7845738015702415,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Random Forest,3,0.8506373243272688,0.5538160469667319,0.12094017094017094,0.19852683269028412,0.7804419069081449,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Random Forest,4,0.8503104913389258,0.5455097087378641,0.12806267806267807,0.2074296262113521,0.784272844697282,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,Random Forest,5,0.8511570139887566,0.5595690747782003,0.12580139621028635,0.2054204955216936,0.7897140796982375,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,XGBoost,1,0.8524675890619893,0.581151832460733,0.12651374839720758,0.2077922077922078,0.7938945055591983,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,XGBoost,2,0.8509641573156117,0.5560425798371947,0.12651374839720758,0.20612813370473537,0.7910889729127475,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,XGBoost,3,0.8505937465954897,0.5549561699258261,0.11723646723646723,0.19357873691638244,0.7898738139078975,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,XGBoost,4,0.8516396121581872,0.565896314803248,0.12905982905982907,0.21018443336039902,0.7918767893295224,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,5,XGBoost,5,0.85318342266963,0.5951252538930264,0.1252315144607494,0.20692090395480225,0.7984235293363122,"GenHlth, HighBP, BMI, DiffWalk, HighChol"
DODA,10,Logistic Regression,1,0.8502887024730362,0.5411568409343716,0.1386237355748682,0.22070999206079164,0.8032875313622964,"GenHlth, HighBP, BMI, DiffWalk, HighChol, HeartDiseaseorAttack, Age, PhysHlth, Stroke, Income"
DODA,10,Logistic Regression,2,0.8495914587645713,0.5308510638297872,0.1421854965094743,0.22429486459152714,0.7993624993973335,"GenHlth, HighBP, BMI, DiffWalk, HighChol, HeartDiseaseorAttack, Age, PhysHlth, Stroke, Income"
